id,lat,lng,nom_ZdA,indice_lig,mode_
61,48.874748649745484,2.2955602562131467,Charles-de-Gaulle Étoile,6,METRO
62,48.87126214352652,2.2932406499473132,Kléber,6,METRO
63,48.86698310851503,2.2900588335804866,Boissière,6,METRO
64,48.86361093671121,2.2875801625296517,Trocadéro,6,METRO
65,48.85744868914132,2.2858124441464076,Passy,6,METRO
66,48.85394260527926,2.289334532778806,Bir-Hakeim,6,METRO
67,48.85043454807889,2.2936124371878024,Dupleix,6,METRO
68,48.84874166478328,2.2989309117480605,La Motte Picquet - Grenelle,6,METRO
69,48.84750708106227,2.3029682978173134,Cambronne,6,METRO
610,48.845626965812635,2.3095314914609446,Sèvres Lecourbe,6,METRO
611,48.84267681904916,2.3128127748369014,Pasteur,6,METRO
612,48.842102206274035,2.321278562744627,Montparnasse Bienvenue,6,METRO
613,48.840663228364996,2.3263846107928456,Edgar Quinet,6,METRO
614,48.838964279775986,2.330754192086215,Raspail,6,METRO
615,48.834292979538596,2.3328523099608898,Denfert-Rochereau,6,METRO
616,48.83290081472565,2.3371351933438995,Saint-Jacques,6,METRO
617,48.831129547092026,2.3435116577497754,Glacière,6,METRO
618,48.82979051275835,2.350414872010463,Corvisart,6,METRO
619,48.8309272400659,2.3561219387971035,Place d'Italie,6,METRO
620,48.83321671877524,2.362856399519012,Nationale,6,METRO
621,48.83494772231993,2.3681263304132094,Chevaleret,6,METRO
622,48.83704511922334,2.3728257245425715,Quai de la Gare,6,METRO
623,48.84038874716129,2.3799112714543975,Bercy,6,METRO
624,48.839041142779394,2.389620014061438,Dugommier,6,METRO
625,48.8395496446341,2.3957032894363923,Daumesnil,6,METRO
626,48.841338248197566,2.4009185367798023,Bel-Air,6,METRO
627,48.84506157901035,2.4012890198273475,Picpus,6,METRO
628,48.84737487779481,2.3954619948327394,Nation,6,METRO
