id,lat,lng,nom_ZdA,indice_lig,mode_
141,48.9132020942236,2.3346631501197574,Mairie de Saint-Ouen,14,METRO
142,48.90449641964034,2.321743589558778,Saint-Ouen,14,METRO
143,48.894980809790994,2.3127919615012913,Porte de Clichy,14,METRO
144,48.889560827381025,2.3151768973047835,Pont Cardinet,14,METRO
145,48.87571908888893,2.324224580938852,Gare Saint-Lazare,14,METRO
146,48.870667019963506,2.3257526352867255,Madeleine,14,METRO
147,48.86590673865971,2.3341895419682492,Pyramides,14,METRO
148,48.85958965464833,2.3464781835875943,Châtelet,14,METRO
149,48.8434867608722,2.3739225903167536,Gare de Lyon,14,METRO
1410,48.840001387714224,2.3795540112141405,Bercy,14,METRO
1411,48.83333855831707,2.3866324020669847,Cour Saint-Emilion,14,METRO
1412,48.82999019896456,2.3757479832156028,Bibliothèque François Mitterrand,14,METRO
1413,48.8271636169609,2.3671730244778457,Olympiades,14,METRO
