id,lat,lng,nom_ZdA,indice_lig,mode_
81,48.836295300607894,2.2783302598660233,Balard,8,METRO
82,48.838734857902175,2.2821433781708906,Lourmel,8,METRO
83,48.84109405631434,2.2879457664873772,Boucicaut,8,METRO
84,48.84274677885832,2.2919124133178745,Félix Faure,8,METRO
85,48.844794762777255,2.293951963648717,Commerce,8,METRO
86,48.849575212975026,2.298625127144873,La Motte Picquet - Grenelle,8,METRO
87,48.85489056594407,2.3064034857365163,École Militaire,8,METRO
88,48.85772541195898,2.3105659609468447,La Tour Maubourg,8,METRO
89,48.860381278263674,2.31489073005888,Invalides (r. Esnault-Pelterie),8,METRO
810,48.86681836891563,2.322082848676169,Concorde,8,METRO
811,48.86963317209047,2.326272274027748,Madeleine,8,METRO
812,48.87048333199217,2.331186346851651,Opéra,8,METRO
813,48.871256545007405,2.344561060662729,Grands Boulevards,8,METRO
814,48.86940219572108,2.3538187935928794,Strasbourg Saint-Denis,8,METRO
815,48.86760087916799,2.3627573800027624,République,8,METRO
816,48.863257944024426,2.366661093353451,Filles du Calvaire,8,METRO
817,48.86116886366122,2.3672108677856154,Saint-Sébastien Froissart,8,METRO
818,48.85710325722025,2.3681841149506986,Chemin Vert,8,METRO
819,48.853439426633884,2.369513568156525,Bastille,8,METRO
820,48.85017786186515,2.3840922100556665,Faidherbe Chaligny,8,METRO
821,48.844065596373376,2.3904821339803877,Montgallet,8,METRO
822,48.839445427444936,2.396182886452632,Daumesnil,8,METRO
823,48.83711700605412,2.4023331645551846,Michel Bizot,8,METRO
824,48.834785157146825,2.4053832106267707,Porte Dorée,8,METRO
825,48.832736700820156,2.4003104030250766,Porte de Charenton,8,METRO
826,48.82662006452886,2.405851943981901,Liberté,8,METRO
827,48.821897938499944,2.4131329383427076,Charenton Écoles,8,METRO
828,48.81480300606579,2.4223761428456223,École Vétérinaire de Maisons-Alfort,8,METRO
829,48.8091443609007,2.43450989592394,Maisons-Alfort - Stade,8,METRO
830,48.803355236116154,2.445574101030144,Maisons-Alfort Les Juilliottes,8,METRO
831,48.7966821340621,2.449412805145807,Créteil L'Échat,8,METRO
832,48.78992046595464,2.4505115282905896,Créteil Université,8,METRO
833,48.78000282797376,2.459363129076404,Créteil Préfecture,8,METRO
834,48.76881073327119,2.4642800705433565,Pointe du Lac,8,METRO
